time,ros_time,fsm_state,solve_controller,is_landed,is_armed,takeoff_land_trigger,is_waiting_for_cmd,use_preview,ref_x,ref_y,ref_z,ref_u,ref_v,ref_w,ref_ax,ref_ay,ref_az,ref_phi,ref_theta,ref_psi,x,y,z,u,v,w,ax,ay,az,phi,theta,psi,throttle,battery_voltage,accel_disturbance_x,accel_disturbance_y,accel_disturbance_z
0.21087,1.72355e+09,0,0,1,117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0248436,0.0355111,0.141238,-0.000776082,-0.0218027,-0.0100469,0.044954,0.0285727,9.7741,0.00347247,-0.094863,0.0658656,0,0,0,0,0
0.220823,1.72355e+09,0,0,1,117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0248736,0.0354999,0.141224,-0.00078954,-0.0217224,-0.0100355,0.044954,0.0285727,9.7741,0.00340283,-0.0949694,0.0658586,0,0,0,0,0
0.230817,1.72355e+09,0,0,1,117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0248869,0.0354957,0.141205,-0.000927777,-0.0216898,-0.0100353,0.044954,0.0285727,9.7741,0.00331225,-0.0950549,0.0658422,0,0,0,0,0
0.240812,1.72355e+09,0,0,1,117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0248869,0.0354957,0.141205,-0.000825542,-0.0215323,-0.00987198,0.0184356,0.0378542,9.78146,0.00331225,-0.0950549,0.0658422,0,0,0,0,0
0.250834,1.72355e+09,0,0,1,117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0248935,0.0355296,0.14119,-0.000825542,-0.0215323,-0.00987198,0.0184356,0.0378542,9.78146,0.00345533,-0.0949746,0.0658644,0,0,0,0,0
0.260846,1.72355e+09,0,0,1,117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0248908,0.0355012,0.141199,-0.000795854,-0.0212073,-0.00993244,0.0417626,0.0323793,9.79485,0.0035,-0.0949351,0.0658396,0,0,0,0,0
0.270863,1.72355e+09,0,0,1,117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0248917,0.0355205,0.141216,-0.000803945,-0.0213204,-0.00991369,0.0404528,0.0387904,9.7884,0.00361457,-0.0950427,0.0659339,0,0,0,0,0
0.280824,1.72355e+09,0,0,1,117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.024909,0.0355404,0.141162,-0.000697258,-0.0212119,-0.0102485,0.0404528,0.0387904,9.7884,0.00342493,-0.0950114,0.0658081,0,0,0,0,0
0.290888,1.72355e+09,0,0,1,117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0248267,0.0355737,0.14119,-0.000611185,-0.0211398,-0.0101082,0.041224,0.0729749,9.82823,0.00338777,-0.0949044,0.0657813,0,0,0,0,0
0.300876,1.72355e+09,0,0,1,117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0248146,0.035551,0.141196,-0.00071502,-0.0211652,-0.0103128,0.041224,0.0729749,9.82823,0.00341144,-0.0948767,0.0657954,0,16.036,0,0,0
0.310834,1.72355e+09,0,0,1,117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0248559,0.0355619,0.141191,-0.00071502,-0.0211652,-0.0103128,0.041224,0.0729749,9.82823,0.0034795,-0.0949201,0.0658113,0,16.036,0,0,0
0.320922,1.72355e+09,0,0,1,117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0248483,0.0355478,0.141202,-0.00128166,-0.021446,-0.01043,0.00181034,0.00340939,9.78384,0.00337406,-0.0949179,0.0658702,0,16.037,0,0,0
0.33088,1.72355e+09,0,0,1,117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.024869,0.0354946,0.141219,-0.00128166,-0.021446,-0.01043,0.0347436,0.0478989,9.80579,0.00352636,-0.0949115,0.0658735,0,16.037,0,0,0
0.340922,1.72355e+09,0,0,1,117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0248929,0.0355199,0.141208,-0.00135789,-0.0211929,-0.0102366,0.0347436,0.0478989,9.80579,0.00336429,-0.0949486,0.0658741,0,16.037,0,0,0
0.350842,1.72355e+09,0,0,1,117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0249136,0.035535,0.141202,-0.00132625,-0.0207882,-0.0104837,0.0347436,0.0478989,9.80579,0.00337744,-0.0950565,0.0659263,0,16.037,0,0,0
0.360918,1.72355e+09,0,0,1,117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0249107,0.03545,0.14123,-0.00129801,-0.0205369,-0.0102281,0.0267619,0.0845611,9.82891,0.00359955,-0.0952333,0.0659282,0,16.037,0,0,0
0.370896,1.72355e+09,0,0,1,117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0248793,0.0354765,0.141221,-0.00127816,-0.0206296,-0.0103385,0.0267619,0.0845611,9.82891,0.0035023,-0.0950721,0.0658351,0,16.037,0,0,0
0.380899,1.72355e+09,0,0,1,117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0248609,0.0355076,0.141219,-0.00124271,-0.0204883,-0.0105497,0.0431234,0.0392694,9.79921,0.00343809,-0.0949184,0.0658865,0,16.037,0,0,0
0.390907,1.72355e+09,0,0,1,117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.024865,0.0355026,0.141201,-0.00128757,-0.020589,-0.0102944,0.0431234,0.0392694,9.79921,0.0034866,-0.0949282,0.0658699,0,16.037,0,0,0
0.400877,1.72355e+09,0,0,1,117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0248887,0.0355458,0.141133,-0.00128757,-0.020589,-0.0102944,0.0208021,0.0295645,9.81336,0.00329879,-0.0949646,0.0657561,0,16.037,0,0,0
0.410867,1.72355e+09,0,0,1,117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0248573,0.0355512,0.141137,-0.00133413,-0.0207524,-0.010067,0.0347179,0.0301837,9.76814,0.00325956,-0.0950001,0.0657921,0,16.037,0,0,0
0.42087,1.72355e+09,0,0,1,117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0248509,0.0355481,0.141127,-0.0012643,-0.0208606,-0.0102431,0.0347179,0.0301837,9.76814,0.00345264,-0.0949514,0.0658357,0,16.037,0,0,0
0.430873,1.72355e+09,0,0,1,117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0248929,0.0354775,0.141181,-0.00108248,-0.0208636,-0.0104447,0.0347179,0.0301837,9.76814,0.00343167,-0.0951128,0.0658595,0,16.037,0,0,0
0.440943,1.72355e+09,0,0,1,117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0249032,0.0355643,0.141187,-0.00105606,-0.0205268,-0.0104712,0.0415968,0.0575865,9.78654,0.0033732,-0.094997,0.0658569,0,16.037,0,0,0
0.450819,1.72355e+09,0,0,1,117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0249511,0.0355236,0.141179,-0.00105606,-0.0205268,-0.0104712,0.0415968,0.0575865,9.78654,0.00339139,-0.0951091,0.0658163,0,16.037,0,0,0
0.460893,1.72355e+09,0,0,1,117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0249583,0.0355014,0.141192,-0.00110101,-0.0206797,-0.0108314,0.0333378,0.000253394,9.77253,0.00346551,-0.0951292,0.06591,0,16.037,0,0,0
0.470872,1.72355e+09,0,0,1,117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0249062,0.0355548,0.14122,-0.00119627,-0.0206636,-0.0107027,0.0333378,0.000253394,9.77253,0.00345036,-0.0950364,0.0658832,0,16.037,0,0,0
0.480935,1.72355e+09,0,0,1,117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0248163,0.0355101,0.141228,-0.00100917,-0.0207432,-0.0108538,0.0557327,0.0316706,9.81615,0.003512,-0.0951002,0.0658655,0,16.037,0,0,0
0.490847,1.72355e+09,0,0,1,117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0247962,0.0354942,0.141188,-0.000876292,-0.0207667,-0.0106489,0.0557327,0.0316706,9.81615,0.00356487,-0.0949831,0.0658704,0,16.037,0,0,0
0.500893,1.72355e+09,0,0,1,117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0248606,0.0356332,0.141146,-0.000798145,-0.0209188,-0.0108797,0.0342171,0.0198969,9.79586,0.00332841,-0.0950734,0.0657938,0,16.037,0,0,0
0.510867,1.72355e+09,0,0,1,117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0248581,0.0355986,0.141207,-0.000673797,-0.0210883,-0.0107807,0.032877,0.0226283,9.74576,0.00326648,-0.095009,0.0658836,0,16.037,0,0,0
0.520885,1.72355e+09,0,0,1,117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0248308,0.035451,0.141266,-0.000524434,-0.0212263,-0.0111933,0.032877,0.0226283,9.74576,0.00346767,-0.0948633,0.0659176,0,16.037,0,0,0
0.530879,1.72355e+09,0,0,1,117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0248445,0.0354639,0.141264,-0.000319521,-0.0208734,-0.0108475,0.032877,0.0226283,9.74576,0.00339892,-0.0949607,0.0659327,0,16.038,0,0,0
0.540889,1.72355e+09,0,0,1,117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0248445,0.0354639,0.141264,-0.000334116,-0.0208791,-0.0111199,0.0543024,0.0367634,9.85016,0.00339892,-0.0949607,0.0659327,0,16.038,0,0,0
0.55076,1.72355e+09,0,0,1,117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0248445,0.0354639,0.141264,-0.000334116,-0.0208791,-0.0111199,0.0543024,0.0367634,9.85016,0.00339892,-0.0949607,0.0659327,0,16.038,0,0,0
0.561021,1.72355e+09,0,0,1,117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0249258,0.0355131,0.1412,-0.00031524,-0.0206786,-0.011319,0.0396726,0.0563517,9.75777,0.00334452,-0.0951475,0.0658922,0,16.038,0,0,0
0.570826,1.72355e+09,0,0,1,117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0248652,0.0355835,0.141182,-0.00031524,-0.0206786,-0.011319,0.0396726,0.0563517,9.75777,0.00341801,-0.0952427,0.0657583,0,16.038,0,0,0
0.580939,1.72355e+09,0,0,1,117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0248974,0.0355343,0.14118,-0.000169953,-0.0206143,-0.0112897,0.0354504,0.0198242,9.81421,0.00365337,-0.0950995,0.0658642,0,16.038,0,0,0
0.590869,1.72355e+09,0,0,1,117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0248512,0.0355423,0.141199,-0.000243965,-0.0206524,-0.0112859,0.0191666,0.00898086,9.79366,0.0035535,-0.0950488,0.0658305,0,16.038,0,0,0
0.600878,1.72355e+09,0,0,1,117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0248607,0.0354914,0.141164,-0.000373632,-0.0207042,-0.0115097,0.0191666,0.00898086,9.79366,0.00345687,-0.0949157,0.065813,0,16.038,0,0,0
0.610871,1.72355e+09,0,0,1,117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0248763,0.0354626,0.141149,-0.000320191,-0.0209266,-0.0118286,0.0215984,0.0238756,9.80043,0.0037082,-0.0949234,0.0658619,0,16.038,0,0,0
